id,category,trade_name,generic_name,dosage,notes,is_important,memo
1,アレルギー薬,アイピーディDS5%,スプラタスト,0.75g/回/3～4歳、 1.5g/回/5〜10歳、 2g/回/11歳以上,分２,,
2,アレルギー薬,アレルギン散1%・ネオレスタミンコーワ散1%,クロルフェニラミン,0.15g/10kg,,,
3,アレルギー薬,アレロック◆顆粒◆0.5%,オロパタジン,0.5g/回/2歳～6歳、 1g/回/7歳以上（成人量）,分２,1,
4,アレルギー薬,オキサトミド小児用DS2％,オキサトミド,0.5g/10kg、 ※最大0.75g/10k9,※先発なし,,
5,アレルギー薬,オノンDS10%,ブラジルカスカ,0.7g/10kg、 ※最大1g/10kg/日,,,
6,アレルギー薬,オロパタジン塩酸塩◆DS◆1％,オロパタジン,0.25g/回/2歳～6歳、 0.5g/回/7歳以上（成人量）,分２,1,
7,アレルギー薬,キプレス細粒・シングレア細粒,モンテルカスト,1包/1～5歳、※6歳以上～14歳→チュアブル錠,,,
8,アレルギー薬,クラリチンDS1%,ロラタジン,0.5g/3～7歳、 1g/7歳以上（成人量）,,,
9,アレルギー薬,ザジテンDS0.1%,ケトチフェン,0.6g/10kg,禁：てんかん,1,
10,アレルギー薬,ジルテックDS1.25%,セチリジン,0.4g/2〜6歳、 0.8g/7歳以上,,,
11,アレルギー薬,ゼスラン小児用細粒0.6%・ニポラジン小児用細粒0.6%,メキタジン,0.4g/10kg（喘息）、 0.2g/10kg（じんましん、鼻炎）,,,
12,アレルギー薬,タベジール散◆0.1%,クレマスチン,0.4g/1～2歳、 0.5g/3〜4歳、 0.7g/5～7歳、 1g/8〜10歳,,1,
13,アレルギー薬,タベジールDS◆1%,クレマスチン,0.04g/1〜2歳、 0.05g/3〜4歳、 0.07g/5〜7歳、 0.1g/8〜10歳,,1,
14,アレルギー薬,フェキソフェナジンDS5%,フェキソフェナジン,0.3g/回/6ヶ月～1歳、 0.6g/回/2歳～6歳、 0.6g/回/7歳～12歳（適宜増減）,分２,,
15,アレルギー薬,ペリアクチン散1%,シプロへブタジン,0.25g/10kg,,,
16,アレルギー薬,ポララミン◆DS◆0.2%,クロルフェニラミン,0.75g/10kg,,1,
17,アレルギー薬,ポララミン◆散◆1％,クロルフェニラミン,0.15g/10kg,,1,
18,アレルギー薬,リザベン◆細粒◆10%,トラニラスト,0.5g/10kg,,1,
19,アレルギー薬,リザベン◆DS◆5％,トラニラスト,1g/10kg,,1,
20,アレルギー薬,レボセチリジン塩酸塩DS0.5%,レポセチリジン,0.25g/回/分1/6ヶ月～1歳未満、 0.25g/回/分2/1歳～6歳、 0.5g/回/分2/7歳～15歳,,,
21,抗生剤、抗ウイルス薬,アシクロビル◆DS◆80％,アシクロビル,0.25g/10kg/回、※（水痘・帯状疱疹）最大1g/回、 ※（単純ヘルペス）最大0.25g/回,分４,1,
22,抗生剤、抗ウイルス薬,エリスロシンDS◆W20%,エリスロマイシン,1.25~2.5g/10kg,,1,
23,抗生剤、抗ウイルス薬,オゼックス細粒小児用15%,トスフロキサシン,0.8g/10kg、 ※最大2.4g/日,,,
24,抗生剤、抗ウイルス薬,オラスポア小児用DS10%,セフロキサジン,3g/10kg,,,
25,抗生剤、抗ウイルス薬,オラペネム小児用細粒10%,テビペネム,0.8~1.2g/10kg,分２・禁：バルプロ酸Na,1,
26,抗生剤、抗ウイルス薬,クラバモックス小児用配合DS,アモキシシリン,1.5g/10kg,食直前,,
27,抗生剤、抗ウイルス薬,クラリスDS10%,クラリスロマイシン,1~1.5g/10kg,,,
28,抗生剤、抗ウイルス薬,ケフラール◆細粒小児用100mg,セファクロル,2~4g/10kg,,1,
29,抗生剤、抗ウイルス薬,L-ケフレックス◆小児用顆粒（200mg/g）,セファレキシン,1.25~2.5g/10kg,分２,1,
30,抗生剤、抗ウイルス薬,ケフレックスシロップ用細粒◆100,セファレキシン,2.5g~5g/10kg,分４,1,
31,抗生剤、抗ウイルス薬,ケフレックスシロップ用細粒◆200,セファレキシン,1.25~2.5g/10kg,分４,1,
32,抗生剤、抗ウイルス薬,サワシリン細粒10%・ワイドリシン細粒10％,アモキシシリン,2~4g/10kg 、※最大9g/10kg,,,
33,抗生剤、抗ウイルス薬,ジスロマック細粒小児用10%,アジスロマイシン,1g/10kg,,,
34,抗生剤、抗ウイルス薬,セフスパン細粒50mg,セフィキシム,0.6g~1.2g/10kg,分２,,
